TOTAL_VARIABLES,ALTERNATIONS,EX_TIME_SECONDS,DENOT_IS_INCOMPLETE_RESULT,DENOT_TOT_ITERATIONS,DENOT_EX_TIME_SECONDS,DENOT_TOT_PATHS,DENOT_TOT_REACH_CALLS,DENOT_MAX_ITERATIONS,DENOT_RESULT,TOTAL_STATES,TOTAL_INIT_STATES,TOTAL_ACCEPTING_STATES,TOTAL_EDGES,TOTAL_PATCHES,MAX_PATCHES,NFA_MAX_REC_DEPTH,TOTAL_SCC,AUTOMATON_EX_TIME_SECONDS,TRANSLATION_OPT_LEVEL,TRANSLATION_EX_TIME_SECONDS,TRANSLATION_TOTAL_STATES,TRANSLATION_TOTAL_INIT_STATES,TRANSLATION_TOTAL_EDGES,TRANSLATION_TOTAL_SCC
3,1,.049549,0,12,0.004492,2,20,30000,( { t = 0 & -b + a >= 1 & b - a >= -29 & b >= 0 } { t = 0 & -b + a >= -27 & a >= 0 & b - a > -1 & b >= 0 } ),14,4,2,22,14,1,29,13,0.004554,High,0.004091,8,1,20,5
3,2,.0535549,0,16,0.007701,2,27,30000,( { t = 0 & -b + a >= -27 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -25 } ),18,4,2,30,18,1,37,16,0.005607,High,0.005019,10,1,26,6
3,3,.0567899,0,20,0.009429,2,34,30000,( { t = 0 & -b + a >= 1 & b >= 0 & b - a >= -25 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -23 } ),22,4,2,38,22,1,45,19,0.006585,High,0.005945,12,1,32,7
3,4,.0666117,0,24,0.013264,2,41,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -23 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -21 & b >= 0 } ),26,4,2,46,26,1,53,22,0.007725,High,0.006965,14,1,38,8
3,5,.0747888,0,28,0.015322,2,48,30000,( { t = 0 & -b + a >= 1 & b - a >= -21 & b >= 0 } { t = 0 & -b + a >= -19 & a >= 0 & b - a > -1 & b >= 0 } ),30,4,2,54,30,1,61,25,0.008624,High,0.007799,16,1,44,9
3,6,.0725877,0,32,0.018293,2,55,30000,( { t = 0 & -b + a >= -19 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -17 & b >= 0 } ),34,4,2,62,34,1,69,28,0.009436,High,0.008529,18,1,50,10
3,7,.0716864,0,36,0.020550,2,62,30000,( { t = 0 & -b + a >= 1 & b - a >= -17 & b >= 0 } { t = 0 & -b + a >= -15 & a >= 0 & b - a > -1 & b >= 0 } ),38,4,2,70,38,1,77,31,0.010270,High,0.009244,20,1,56,11
3,8,.0835347,0,40,0.023392,2,69,30000,( { t = 0 & -b + a >= -15 & a >= 0 & b - a >= 1 } { t = 0 & -b + a > -1 & a >= 0 & b >= 0 & b - a >= -13 } ),42,4,2,78,42,1,85,34,0.011124,High,0.010050,22,1,62,12
3,9,.0936999,0,44,0.025375,2,76,30000,( { t = 0 & -b + a >= 1 & b >= 0 & b - a >= -13 } { t = 0 & a >= 0 & b - a > -1 & b >= 0 & -b + a >= -11 } ),46,4,2,86,46,1,93,37,0.011993,High,0.010832,24,1,68,13
3,10,.0834678,0,48,0.028593,2,83,30000,( { t = 0 & a >= 0 & b - a >= 1 & -b + a >= -11 } { t = 0 & -b + a > -1 & a >= 0 & b - a >= -9 & b >= 0 } ),50,4,2,94,50,1,101,40,0.013463,High,0.012227,26,1,74,14
4,1,.0900289,0,12,0.028450,2,20,30000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -39 & -c + b >= -29 & b - a >= -19 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -37 } ),14,4,2,22,14,1,29,13,0.004711,High,0.004147,8,1,20,5
4,2,.1053667,0,16,0.036153,2,27,30000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -37 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -35 & -c + b >= -26 & b - a >= -17 } ),18,4,2,30,18,1,37,16,0.005684,High,0.004987,10,1,26,6
4,3,.1229556,0,20,0.052313,2,34,30000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -35 & -c + b >= -26 & b - a >= -17 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -33 } ),22,4,2,38,22,1,45,19,0.006669,High,0.005878,12,1,32,7
4,4,.1294145,0,24,0.060759,2,41,30000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -33 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -31 & -c + b >= -23 & b - a >= -15 } ),26,4,2,46,26,1,53,22,0.007959,High,0.007048,14,1,38,8
4,5,.1502037,0,28,0.076432,2,48,30000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -31 & -c + b >= -23 & b - a >= -15 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -29 } ),30,4,2,54,30,1,61,25,0.008840,High,0.007827,16,1,44,9
4,6,.1612539,0,32,0.083354,2,55,30000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -29 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -27 & -c + b >= -20 & b - a >= -13 } ),34,4,2,62,34,1,69,28,0.009205,High,0.008113,18,1,50,10
4,7,.1720511,0,36,0.100745,2,62,30000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -27 & -c + b >= -20 & b - a >= -13 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -25 } ),38,4,2,70,38,1,77,31,0.010624,High,0.009407,20,1,56,11
4,8,.1744929,0,40,0.110099,2,69,30000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -25 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -23 & -c + b >= -17 & b - a >= -11 } ),42,4,2,78,42,1,85,34,0.011213,High,0.009810,22,1,62,12
4,9,.199320,0,44,0.125517,2,76,30000,( { t = 0 & a >= 0 & b >= 0 & c - b + a >= 1 & c >= 0 & -c + b - a >= -23 & -c + b >= -17 & b - a >= -11 } { t = 0 & -c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & c - b + a >= -21 } ),46,4,2,86,46,1,93,37,0.012301,High,0.010829,24,1,68,13
4,10,.2066496,0,48,0.134042,2,83,30000,( { t = 0 & -c + b - a >= 1 & a >= 0 & c >= 0 & c - b + a >= -21 } { t = 0 & a >= 0 & b >= 0 & c - b + a > -1 & c >= 0 & -c + b - a >= -19 & -c + b >= -14 & b - a >= -9 } ),50,4,2,94,50,1,101,40,0.013251,High,0.011658,26,1,74,14
5,1,.5897806,0,12,0.515002,2,20,30000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -49 & d - c + b >= -39 & d >= 0 & d + c + b - a >= -29 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -139 & -d + c - b + a >= -47 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -139 & d - c + b - a > -1 & d >= 0 } ),14,4,2,22,14,1,29,13,0.004803,High,0.004121,8,1,20,5
5,2,1.4255526,0,16,1.340255,2,27,30000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -139 & -d + c - b + a >= -47 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -139 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -45 & d >= 0 & 5*d - 5*c + 5*b >= -179 & 5*d + 5*c + 5*b - 5*a >= -133 } ),18,4,2,30,18,1,37,16,0.005953,High,0.005098,10,1,26,6
5,3,1.9093744,0,20,1.821446,2,34,30000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -45 & d >= 0 & 5*d - 5*c + 5*b >= -179 & 5*d + 5*c + 5*b - 5*a >= -133 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -127 & -d + c - b + a >= -43 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -127 & d - c + b - a > -1 & d >= 0 } ),22,4,2,38,22,1,45,19,0.006656,High,0.005712,12,1,32,7
5,4,2.4944833,0,24,2.413994,2,41,30000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -127 & -d + c - b + a >= -43 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -127 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -41 & d >= 0 & 5*d - 5*c + 5*b >= -163 & 5*d + 5*c + 5*b - 5*a >= -121 } ),26,4,2,46,26,1,53,22,0.007753,High,0.006630,14,1,38,8
5,5,2.9902067,0,28,2.902940,2,48,30000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -41 & d >= 0 & 5*d - 5*c + 5*b >= -163 & 5*d + 5*c + 5*b - 5*a >= -121 } { t = 0 & -d + c - b + a >= -39 & -d + c + b + a >= -23 & a >= 0 & b >= 0 & c - b + a >= -23 & c >= 0 & d - c + b - a > -1 & d >= 0 } ),30,4,2,54,30,1,61,25,0.008619,High,0.007400,16,1,44,9
5,6,3.6187469,0,32,3.529310,2,55,30000,( { t = 0 & -d + c - b + a >= -39 & -d + c + b + a >= -23 & a >= 0 & b >= 0 & c - b + a >= -23 & c >= 0 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -37 & d >= 0 & 5*d - 5*c + 5*b >= -147 & 5*d + 5*c + 5*b - 5*a >= -109 } ),34,4,2,62,34,1,69,28,0.010013,High,0.008536,18,1,50,10
5,7,4.1178033,0,36,4.036227,2,62,30000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -37 & d >= 0 & 5*d - 5*c + 5*b >= -147 & 5*d + 5*c + 5*b - 5*a >= -109 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -103 & -d + c - b + a >= -35 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -103 & d - c + b - a > -1 & d >= 0 } ),38,4,2,70,38,1,77,31,0.010746,High,0.009208,20,1,56,11
5,8,4.7455863,0,40,4.638868,2,69,30000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -103 & -d + c - b + a >= -35 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -103 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -33 & d >= 0 & 5*d - 5*c + 5*b >= -131 & 5*d + 5*c + 5*b - 5*a >= -97 } ),42,4,2,78,42,1,85,34,0.011243,High,0.009534,22,1,62,12
5,9,5.2327604,0,44,5.124115,2,76,30000,( { t = 0 & -d + c - b + a >= 1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -33 & d >= 0 & 5*d - 5*c + 5*b >= -131 & 5*d + 5*c + 5*b - 5*a >= -97 } { t = 0 & -5*d + 5*c + 5*b + 5*a >= -91 & -d + c - b + a >= -31 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -91 & d - c + b - a > -1 & d >= 0 } ),46,4,2,86,46,1,93,37,0.012231,High,0.010447,24,1,68,13
5,10,5.8234916,0,48,5.723962,2,83,30000,( { t = 0 & -5*d + 5*c + 5*b + 5*a >= -91 & -d + c - b + a >= -31 & a >= 0 & b >= 0 & c >= 0 & 5*c - 5*b + 5*a >= -91 & d - c + b - a >= 1 & d >= 0 } { t = 0 & -d + c - b + a > -1 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -29 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -17 } ),50,4,2,94,50,1,101,40,0.013965,High,0.011891,26,1,74,14
6,1,264.9624150,0,12,264.878270,2,20,30000,( { t = 0 & -e + d - c + b - a >= -59 & -e + d - c + b >= -49 & -e + d + c + b - a >= -39 & -e + d + c + b >= -29 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -39 & d - c + b >= -29 & d >= 0 & d + c + b - a >= -19 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -57 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -113 & 3*e + 3*d + 3*c - 3*b + 3*a >= -113 } ),14,4,2,22,14,1,29,13,0.004724,High,0.003924,8,1,20,5
6,2,366.6104807,0,16,366.523265,2,27,30000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -57 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -113 & 3*e + 3*d + 3*c - 3*b + 3*a >= -113 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -137 & -3*e + 3*d + 3*c + 3*b - 3*a >= -109 & -e + d - c + b - a >= -55 & -e + d + c + b >= -27 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -27 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -109 & 3*d + 3*c + 3*b - 3*a >= -53 & e - d + c - b + a > -1 & e >= 0 } ),18,4,2,30,18,1,37,16,0.006043,High,0.004980,10,1,26,6
6,3,435.3531056,0,20,435.258563,2,34,30000,( { t = 0 & -3*e + 3*d - 3*c + 3*b >= -137 & -3*e + 3*d + 3*c + 3*b - 3*a >= -109 & -e + d - c + b - a >= -55 & -e + d + c + b >= -27 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -27 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -109 & 3*d + 3*c + 3*b - 3*a >= -53 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -53 & e - d + c + b + a >= -35 & e >= 0 & e + d + c - b + a >= -35 } ),22,4,2,38,22,1,45,19,0.007143,High,0.005901,12,1,32,7
6,4,519.4760249,0,24,519.377498,2,41,30000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -53 & e - d + c + b + a >= -35 & e >= 0 & e + d + c - b + a >= -35 } { t = 0 & -3*e + 3*d - 3*c + 3*b >= -127 & -3*e + 3*d + 3*c + 3*b - 3*a >= -101 & -e + d - c + b - a >= -51 & -e + d + c + b >= -25 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -25 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -101 & 3*d + 3*c + 3*b - 3*a >= -49 & e - d + c - b + a > -1 & e >= 0 } ),26,4,2,46,26,1,53,22,0.008286,High,0.006820,14,1,38,8
6,5,631.6121292,0,28,631.499108,2,48,30000,( { t = 0 & -3*e + 3*d - 3*c + 3*b >= -127 & -3*e + 3*d + 3*c + 3*b - 3*a >= -101 & -e + d - c + b - a >= -51 & -e + d + c + b >= -25 & a >= 0 & b >= 0 & c >= 0 & d - c + b >= -25 & d >= 0 & 3*d - 3*c + 3*b - 3*a >= -101 & 3*d + 3*c + 3*b - 3*a >= -49 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -49 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -97 & 3*e + 3*d + 3*c - 3*b + 3*a >= -97 } ),30,4,2,54,30,1,61,25,0.009099,High,0.007502,16,1,44,9
6,6,715.8999129,0,32,715.797802,2,55,30000,( { t = 0 & -e + d - c + b - a >= 1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -49 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -97 & 3*e + 3*d + 3*c - 3*b + 3*a >= -97 } { t = 0 & -e + d - c + b - a >= -47 & -e + d - c + b >= -39 & -e + d + c + b - a >= -31 & -e + d + c + b >= -23 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -31 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -15 & e - d + c - b + a > -1 & e >= 0 } ),34,4,2,62,34,1,69,28,0.010492,High,0.008591,18,1,50,10
6,7,935.9711765,0,36,935.864887,2,62,30000,( { t = 0 & -e + d - c + b - a >= -47 & -e + d - c + b >= -39 & -e + d + c + b - a >= -31 & -e + d + c + b >= -23 & a >= 0 & b >= 0 & c >= 0 & d - c + b - a >= -31 & d - c + b >= -23 & d >= 0 & d + c + b - a >= -15 & e - d + c - b + a >= 1 & e >= 0 } { t = 0 & -e + d - c + b - a > -1 & a >= 0 & b >= 0 & c >= 0 & d >= 0 & e - d + c - b + a >= -45 & e >= 0 & 3*e - 3*d + 3*c + 3*b + 3*a >= -89 & 3*e + 3*d + 3*c - 3*b + 3*a >= -89 } ),38,4,2,70,38,1,77,31,0.011442,High,0.009455,20,1,56,11
